"filename", "language", "JSON", "JavaScript", "Ini", "Properties", "MS SQL", "Shell Script", "Markdown", "PHP", "Ignore", "Docker", "TypeScript", "Skill", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\analytics\database\factories\RecordFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 11, 73
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\analytics\database\migrations\2024_12_18_131844_create_analytic_records_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 9, 54
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\analytics\src\AnalyticServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\analytics\src\Http\Resources\V1\RecordResource.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\analytics\src\Models\Record.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\composer.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\config\filament-shield.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\database\migrations\2026_04_19_000001_create_articles_categories_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\database\migrations\2026_04_19_000002_create_articles_tags_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\database\migrations\2026_04_19_000003_create_articles_articles_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\database\migrations\2026_04_19_000004_create_articles_article_tags_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\database\migrations\2026_04_19_000005_create_articles_article_programs_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\ar\filament\admin\resources\article.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 7, 91
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\ar\filament\admin\resources\category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
